Instance,Time Elapsed
APSEHW6.py,0.10825896263122559
alan.py,0.10995292663574219
batch.py,0.3221399784088135
batch0812.py,0.3381810188293457
batchdes.py,0.11399102210998535
batchs101006m.py,35.95965600013733
batchs121208m.py,94.98911690711975
batchs151208m.py,83.79855608940125
batchs201210m.py,157.3543221950531
clay0203h.py,3.034785032272339
clay0203m.py,1.322765827178955
clay0204h.py,19.578054904937744
clay0204m.py,4.833434820175171
clay0205h.py,83.77999210357666
clay0205m.py,82.54259085655212
clay0303h.py,4.647382974624634
clay0303m.py,2.4265449047088623
clay0304h.py,37.41069793701172
clay0304m.py,37.07586097717285
clay0305h.py,82.28357982635498
clay0305m.py,74.23198103904724
enpro48pb.py,1.3465640544891357
enpro56pb.py,0.9419968128204346
ex1223.py,0.11530494689941406
ex1223a.py,0.11471104621887207
ex1223b.py,0.11471700668334961
ex4.py,2.8287007808685303
fac1.py,0.11736702919006348
fac2.py,0.22467494010925293
fac3.py,0.12667298316955566
flay02h.py,0.22277402877807617
flay02m.py,0.31644701957702637
flay03h.py,3.840857982635498
flay03m.py,1.6182570457458496
flay04h.py,59.02229595184326
flay04m.py,36.16729021072388
flay05h.py,500.1133551597595
flay05m.py,500.0803220272064
flay06h.py,500.2541251182556
flay06m.py,500.17034816741943
fo7.py,0.143906831741333
fo7_2.py,0.1445319652557373
fo8.py,0.151716947555542
fo9.py,285.1231920719147
gbd.py,0.11604809761047363
hybriddynamic_fixed.py,0.1297011375427246
ibs2.py,400.2440209388733
m3.py,0.3211820125579834
m6.py,5.0467369556427
m7.py,0.14447784423828125
meanvarx.py,0.12387895584106445
netmod_dol1.py,2.914788007736206
netmod_dol2.py,5.654395818710327
netmod_kar1.py,3.305893898010254
netmod_kar2.py,3.3070311546325684
o7.py,0.14406704902648926
o7_2.py,0.14603281021118164
portfol_classical050_1.py,0.18113398551940918
portfol_classical200_2.py,3.7341361045837402
procurement2mot.py,0.9522831439971924
ravempb.py,0.44052910804748535
risk2bpb.py,1.814263105392456
rsyn0805h.py,0.1666109561920166
rsyn0805m.py,0.14974403381347656
rsyn0805m02h.py,54.13141703605652
rsyn0805m02m.py,84.83023405075073
rsyn0805m03h.py,133.422021150589
rsyn0805m03m.py,100.3903968334198
rsyn0805m04h.py,260.45104694366455
rsyn0805m04m.py,272.3869490623474
rsyn0810h.py,0.173598051071167
rsyn0810m.py,0.15404415130615234
rsyn0810m02h.py,115.0261640548706
rsyn0810m02m.py,97.8266019821167
rsyn0810m03h.py,245.81505298614502
rsyn0810m03m.py,483.50440096855164
rsyn0810m04h.py,500.58859610557556
rsyn0810m04m.py,299.2510061264038
rsyn0815h.py,0.18563508987426758
rsyn0815m.py,0.16154193878173828
rsyn0815m02h.py,220.38245701789856
rsyn0815m02m.py,150.3221299648285
rsyn0815m03h.py,406.0820059776306
rsyn0815m03m.py,500.230614900589
rsyn0815m04h.py,500.46754693984985
rsyn0815m04m.py,500.3288209438324
rsyn0820h.py,0.1958320140838623
rsyn0820m.py,0.16638684272766113
rsyn0820m02h.py,374.0903329849243
rsyn0820m02m.py,189.1864230632782
rsyn0820m03h.py,500.5219259262085
rsyn0820m03m.py,500.3842399120331
rsyn0820m04h.py,500.8299570083618
rsyn0820m04m.py,500.3706090450287
rsyn0830h.py,0.21282601356506348
rsyn0830m.py,0.17335915565490723
rsyn0830m02h.py,394.6844651699066
rsyn0830m02m.py,218.25345301628113
rsyn0830m03h.py,500.677894115448
rsyn0830m03m.py,295.6826961040497
rsyn0830m04h.py,501.08560585975647
rsyn0830m04m.py,500.49979186058044
rsyn0840h.py,0.2270948886871338
rsyn0840m.py,0.18068385124206543
rsyn0840m02h.py,302.33131980895996
rsyn0840m02m.py,425.54495000839233
rsyn0840m03h.py,500.8381550312042
rsyn0840m03m.py,500.3768689632416
rsyn0840m04h.py,74.4772629737854
rsyn0840m04m.py,500.75991702079773
slay04h.py,1.0540201663970947
slay04m.py,0.6336140632629395
slay05h.py,1.2712328433990479
slay05m.py,0.5399391651153564
slay06h.py,5.0976011753082275
slay06m.py,1.0453979969024658
slay07h.py,8.32200813293457
slay07m.py,1.4513049125671387
slay08h.py,25.57657814025879
slay08m.py,2.9660089015960693
slay09h.py,27.31771492958069
slay09m.py,5.2743589878082275
slay10h.py,303.3332328796387
slay10m.py,306.4787199497223
squfl010-025.py,4.783159017562866
squfl010-040.py,4.614905118942261
squfl010-080.py,29.028958082199097
squfl015-060.py,37.6617169380188
squfl015-080.py,85.02177405357361
squfl020-040.py,64.28298377990723
squfl020-050.py,54.92329382896423
squfl020-150.py,553.3137991428375
squfl025-025.py,56.03245687484741
squfl025-030.py,148.0127010345459
squfl025-040.py,98.20956492424011
squfl030-100.py,552.9794390201569
squfl030-150.py,559.3479578495026
squfl040-080.py,503.70712995529175
sssd08-04.py,3.2377281188964844
sssd12-05.py,5.9480040073394775
sssd15-04.py,5.469098091125488
sssd15-06.py,97.36324405670166
sssd15-08.py,500.4072690010071
sssd16-07.py,500.1023509502411
sssd18-06.py,500.088623046875
sssd18-08.py,500.4978048801422
sssd20-04.py,8.654258012771606
sssd20-08.py,501.3907129764557
sssd22-08.py,500.3569598197937
sssd25-04.py,3.7479419708251953
sssd25-08.py,500.2313930988312
st_e14.py,0.16705083847045898
stockcycle.py,7.085916996002197
syn05h.py,0.13118195533752441
syn05m.py,0.12853693962097168
syn05m02h.py,0.24477601051330566
syn05m02m.py,0.1397860050201416
syn05m03h.py,0.45777201652526855
syn05m03m.py,0.14718985557556152
syn05m04h.py,0.5687739849090576
